index,Year,County,PedFatal,PedTotals,Ped_PC,BikeFatal,BikeTotals,Bike_PC
1,2020,Duval,45,56,9.8,12,19,7.8
2,2021,Duval,45,59,15.7,6,9,-11.8
3,2022,Duval,43,58,13.7,5,8,-13.7
4,2023,Duval,44,62,21.6,5,10,-9.8
5,2024,Duval,41,,,10,,
7,2020,St. Johns,4,56,9.8,4,19,7.8
8,2021,St. Johns,9,59,15.7,1,9,-11.8
9,2022,St. Johns,7,58,13.7,1,8,-13.7
10,2023,St. Johns,7,62,21.6,3,10,-9.8
11,2024,St. Johns,6,,,0,,
13,2020,Clay,5,56,9.8,2,19,7.8
14,2021,Clay,4,59,15.7,1,9,-11.8
15,2022,Clay,7,58,13.7,2,8,-13.7
16,2023,Clay,9,62,21.6,1,10,-9.8
17,2024,Clay,4,,,2,,
19,2020,Nassau,2,56,9.8,1,19,7.8
20,2021,Nassau,1,59,15.7,1,9,-11.8
21,2022,Nassau,1,58,13.7,0,8,-13.7
22,2023,Nassau,2,62,21.6,1,10,-9.8
23,2024,Nassau,2,,,0,,
