index,year,county,count,severity,rate,cost
3,2021,Clay,66,serious injury,888030,58609980
5,2022,Clay,70,serious injury,888030,62162100
7,2023,Clay,65,serious injury,888030,57721950
9,2024,Clay,69,serious injury,888030,61274070
11,2025,Clay,79,serious injury,888030,70154370
15,2021,Duval,631,serious injury,888030,560346930
17,2022,Duval,580,serious injury,888030,515057400
19,2023,Duval,568,serious injury,888030,504401040
21,2024,Duval,498,serious injury,888030,442238940
23,2025,Duval,395,serious injury,888030,350771850
27,2021,Nassau,71,serious injury,888030,63050130
29,2022,Nassau,78,serious injury,888030,69266340
31,2023,Nassau,71,serious injury,888030,63050130
33,2024,Nassau,50,serious injury,888030,44401500
35,2025,Nassau,46,serious injury,888030,40849380
39,2021,St. Johns,154,serious injury,888030,136756620
41,2022,St. Johns,127,serious injury,888030,112779810
43,2023,St. Johns,132,serious injury,888030,117219960
45,2024,St. Johns,117,serious injury,888030,103899510
47,2025,St. Johns,89,serious injury,888030,79034670
