Index,Category,FY24_Qtr,Mins
2,Verification Duration,1st Quarter,2.2
3,Response Duration,1st Quarter,4.9
4,Open Roads Duration,1st Quarter,52.1
5,Departure Duration,1st Quarter,18.2
10,Verification Duration,2nd Quarter,2.3
11,Response Duration,2nd Quarter,4.7
12,Open Roads Duration,2nd Quarter,47.3
13,Departure Duration,2nd Quarter,18.6
18,Verification Duration,3rd Quarter,2.5
19,Response Duration,3rd Quarter,5.1
20,Open Roads Duration,3rd Quarter,51.9
21,Departure Duration,3rd Quarter,18.3
26,Verification Duration,4th Quarter,2.4
27,Response Duration,4th Quarter,5
28,Open Roads Duration,4th Quarter,53.3
29,Departure Duration,4th Quarter,22
